iter	Passed	Remaining
552	2887	2333
553	2891	2327
554	2897	2323
555	2902	2317
556	2907	2312
557	2912	2307
558	2917	2301
559	2922	2296
560	2928	2291
561	2933	2286
562	2938	2280
563	2944	2275
564	2949	2270
565	2953	2264
566	2958	2259
567	2964	2254
568	2968	2248
569	2972	2242
570	2977	2237
571	2983	2232
572	2988	2227
573	2995	2223
574	3049	2254
575	3056	2249
576	3064	2246
577	3069	2241
578	3076	2236
579	3083	2232
580	3088	2227
581	3094	2222
582	3100	2217
583	3109	2215
584	3117	2211
585	3125	2207
586	3133	2204
587	3144	2203
588	3152	2199
589	3159	2195
590	3165	2190
591	3171	2185
592	3176	2180
593	3181	2174
594	3186	2169
595	3194	2165
596	3199	2159
597	3204	2153
598	3209	2148
599	3214	2143
600	3220	2137
601	3227	2133
602	3232	2127
603	3237	2122
604	3243	2117
605	3248	2112
606	3254	2106
607	3260	2102
608	3264	2095
609	3269	2090
610	3274	2085
611	3280	2079
612	3285	2074
613	3291	2069
614	3296	2063
615	3301	2058
616	3307	2053
617	3312	2047
618	3316	2041
619	3322	2036
620	3328	2031
621	3333	2025
622	3338	2020
623	3343	2014
624	3349	2009
625	3355	2004
626	3361	1999
627	3367	1994
628	3372	1989
629	3378	1984
630	3383	1978
631	3389	1973
632	3395	1968
633	3402	1963
634	3407	1958
635	3412	1953
636	3417	1947
637	3423	1942
638	3428	1936
639	3433	1931
640	3438	1926
641	3444	1920
642	3449	1914
643	3454	1909
644	3459	1903
645	3463	1898
646	3469	1892
647	3474	1887
648	3480	1882
649	3485	1876
650	3491	1871
651	3495	1865
652	3500	1860
653	3506	1855
654	3511	1849
655	3516	1844
656	3521	1838
657	3526	1832
658	3531	1827
659	3536	1822
660	3542	1816
661	3547	1811
662	3553	1806
663	3558	1800
664	3563	1795
665	3568	1789
666	3573	1784
667	3578	1778
668	3584	1773
669	3589	1767
670	3594	1762
671	3600	1757
672	3605	1751
673	3610	1746
674	3615	1740
675	3621	1735
676	3627	1730
677	3632	1724
678	3636	1719
679	3641	1713
680	3646	1708
681	3652	1703
682	3658	1697
683	3662	1692
684	3667	1686
685	3672	1681
686	3677	1675
687	3681	1669
688	3687	1664
689	3692	1658
690	3697	1653
691	3702	1647
692	3707	1642
693	3712	1636
694	3717	1631
695	3723	1626
696	3728	1620
697	3733	1615
698	3737	1609
699	3742	1603
700	3746	1598
701	3751	1592
702	3755	1586
703	3760	1581
704	3765	1575
705	3770	1570
706	3774	1564
707	3779	1558
708	3784	1553
709	3788	1547
710	3794	1542
711	3798	1536
712	3803	1531
713	3808	1525
714	3813	1520
715	3818	1514
716	3822	1508
717	3827	1503
718	3832	1497
719	3837	1492
720	3842	1486
721	3847	1481
722	3852	1476
723	3857	1470
724	3862	1465
725	3867	1459
726	3872	1454
727	3877	1448
728	3883	1443
729	3888	1438
730	3893	1432
731	3899	1427
732	3904	1422
733	3910	1417
734	3915	1411
735	3920	1406
736	3925	1400
737	3931	1395
738	3936	1390
739	3941	1384
740	3946	1379
741	3951	1373
742	3955	1368
743	3961	1363
744	3966	1357
745	3971	1352
746	3977	1346
747	3982	1341
748	3988	1336
749	3994	1331
750	3999	1326
751	4004	1320
752	4009	1315
753	4014	1309
754	4020	1304
755	4025	1299
756	4031	1294
757	4036	1288
758	4041	1283
759	4045	1277
760	4051	1272
761	4056	1267
762	4062	1262
763	4067	1256
764	4072	1250
765	4078	1245
766	4083	1240
767	4087	1234
768	4092	1229
769	4098	1224
770	4102	1218
771	4108	1213
772	4114	1208
773	4118	1202
774	4123	1197
775	4127	1191
776	4132	1186
777	4137	1180
778	4143	1175
779	4148	1170
780	4153	1164
781	4158	1159
782	4163	1153
783	4167	1148
784	4172	1142
785	4177	1137
786	4183	1132
787	4189	1127
788	4195	1122
789	4201	1116
790	4206	1111
791	4212	1106
792	4216	1100
793	4221	1095
794	4226	1089
795	4231	1084
796	4236	1079
797	4241	1073
798	4246	1068
799	4251	1062
800	4256	1057
801	4262	1052
802	4267	1047
803	4273	1041
804	4278	1036
805	4284	1031
806	4289	1025
807	4295	1020
808	4300	1015
809	4305	1009
810	4311	1004
811	4315	999
812	4320	993
813	4326	988
814	4331	983
815	4335	977
816	4341	972
817	4347	967
818	4352	961
819	4357	956
820	4363	951
821	4368	946
822	4374	940
823	4380	935
824	4384	929
825	4389	924
826	4395	919
827	4401	914
828	4407	909
829	4415	904
830	4420	899
831	4427	894
832	4433	888
833	4439	883
834	4444	878
835	4448	872
836	4453	867
837	4459	862
838	4464	856
839	4469	851
840	4475	846
841	4480	840
842	4484	835
843	4490	829
